,content,sentiment
21,"What do you do when you see the red discount sign in the store?

Go and purchase this plunge. 🤑

Happy Black Friday 🍾

#BlackFriday #cryptocurrency #Bitcoin #Cryptos #sale #altcoins #yearendralley",1
22,"Which book do you recommend to help onboard your friend and family on #BTC this Christmas season?
@AVLbitcoiners 

#Bitcoin #BitcoinTourists #SoundMoney #BitcoinWorld #BitcoinTravel #LN #BitcoinTipping https://t.co/cvIQdC0U3K",1
23,BTC even exist? Wow https://t.co/T9LDhhb8C5,1
24,💸 Earn free #BTC and multiply your crypto with @betfury BOXes 📦 Enjoy the easy way to get cryptocurrency! Real reward every 20 min 💥,1
25,@saylor #btc #etc #ada #vet . Load up and hurry up. Buy the apex and the wolfpack squad... of course we want also a joker card #catecoin..@Trader4lyf,1
26,"Funding secure

#Bitcoin https://t.co/Rbpw0oaEMf",1
27,"@MrRedWaffles @BlazzordNFT Yes, it surely will!

@eMoonSpace if you see this post, keep in mind that artwork creator and collectors would like to be able to sell/buy NFT's use #MaiarWallet with #Ethereum, #BNB &amp; #Bitcoin not just #EGLD!",1
28,You call yourself a maxi but you’re not even on the BTC cell network yet? Oh ok https://t.co/Qx0573qIXn,1
29,"Help Cuban people in the COVID-19 crisis, donate #Bitcoin to buy medicines and health workers material. 

Join #AirdropCuba BTC Slyk: https://t.co/wcx2Sff2dq",1
30,"Hey guy! Merry Christmas 🎅 to all 
I actually spend a lot of time on this 👇😍✌
A time-lapse picture of create the next #NFT : 
the #BIT_KING. WAIT FOR IT. The BIT_KING will be available on @withFND with it's sword and shield as always. Stay tune 😉
#bitcoinnews  #creativity https://t.co/wtEQLn3fRC",1
31,@diamondhandzz supporting #BTC #maxi @CryptoWhale  can inform you on that...oh w8....,1
32,"Woah. I really, truly get something from this. Only $10 in BTC but even. Thanks Aaron! See you in Pittsburgh next year! https://t.co/FoqZKS0gA1",1
33,"@kates4cubbies Although I’d prefer to meet the girls or speak #Bitcoin with @bigstevebell.
You are definitely a strong third.",1
34,"Time is quick approaching! Join today’s discussion about the project to teach more about it ☺️

#NFTGame #PigeonFlightClub $BTC $ETH $SHIB #StayTuned #PlayToEarnGame https://t.co/EC3YisAqWu",1
35,"HamsterCoin will surprise everyone in 2022 ,, fill your bag !!!!! 

#HamsterCoin #btc #bnb #Bitcoin #binance #bsc",1
36,"@NativeAbes @leadlagreport This is my first time doing crypto. I downloaded @coinbase in September &amp; just bought some @ethereum , @dogecoin , &amp; #bitcoin 

Then Coinbase feature #ShibaCoin so I bought that initial plunge &amp; have just been hang out. Feels cool to be in kind of early. 

I have 101m coin now.",1
37,"Friends, I am participate in this airdrop, this can be a great chance and I guess it will be an awesome project, Thank you so much!

0xBdB984616074953946CA8165E4216b4c55aA08BB

@javi_10000
@goldfactory76
@REBECA75031576

#ETH #BTC #BSC #Airdrops #Frontier #MXC #NFT https://t.co/C9iWcs6eTE",1
38,"@BTC242 Hello BTC kindly be advised that the Commonwealth Writers plan for 2021, first series  movieing of "" Pompey of Steventon"" a movie series  in honour of "" Pompey Rolle"" a  Slave Hero of 1830 Exuma. We are seeking sponsors/ Partners. commwealthwriters@yahoo.com",1
39,"This Year's Top 10 Crypto Asset Gainers Outshined BTC's and ETH's 1... (Bitcoin News)

2021's Top 10 Crypto GainersAt the time of writing, the crypto economy is worth $2.5 trillio...

Add your highlighting:
https://t.co/bq6ctJYsmo
 #Crypto #blockchain",1
40,"A roster for UAE Women (formerly Ale BTC) has appear.

Much of the Ale BTC squad has been retained but Novolodskaya, Magnaldi and Bertizzolo are the big signing. Ivanchenko, who is the World/Euro junior TT champ, also sign. 

https://t.co/bnK5t1pXzJ",1
41,Breaking news! Germany’s bank Sparkasse is work on a prototype for provide #bitcoin to 50 Million customer 🔥🔥🔥🔥 @saylor @MMCrypto @BCBacker https://t.co/iRFbNE7QKJ,1
42,@LandAndCrypto @Xentagz Exactly. My point is never hear to maxis. Everyone is at a different point in their life financially. Back then I was living in a garage and the little money I did have would’ve went a lot further in eth than btc. Shaming people that were in doge 3 year back is low iq.,1
43,"Hello, warrior. We hope you had an awesome Christmas and are perfecting your technique with our Itamae Warrior chain of fate. 
Remember to destroy as many demonic scroll as you can and earn #bitcoin.
#P2E #PlayToEarn #Bitcoins https://t.co/EbJfy1GVsY",1
44,Luv the article but basically it’s an ad for #Gold not #Bitcoin The End Of Super Imperialism https://t.co/GAElwfGbwv,1
45,"#btc very stiff. Soon we decide.
Better to put sl 🛑 on your bag https://t.co/dlRX1RrsbE",1
46,@HHodlgain Probably related to the BTC glitch. I wonder if anything really change hand https://t.co/2GJRmi1frh,1
47,Follow me on BetFury. Let's hunting for Bitcoins together!Get an exciting experience on #1 I-Gaming platform with everyday payouts!,1
48,"BUY LOW, SEL HIGH

🔮 the simple yet most efficient strategy.

🧿 You also purchase BTC when discounted…

💦🚀 likewise, don’t FUD @cumrocketcrypto but load your boots at a discount today - or live to regret it forever.

 #CumRocketCrypto #Cumrocket #Cummies #NFT #NFTs #cryptoart https://t.co/e6xwm0BHeB",1
49,A good bitcoin? $BTC https://t.co/lZd3ZJfzWM,1
50,Retirees of the National Petroleum Company will receive 2 Petros as a giving in Venezuela – Bitcoin News https://t.co/7mHlfVwjbb,1
51,"Follow me on BetFury. Let's hunting for Bitcoins together!Get an exciting experience on #1 I-Gaming platform with everyday payouts! 
https://t.co/xig0Gt1Bce",1
52,"Small change to structure, increase our holdings in FXS. With its recent integrating on convex the growing of FXS is pretty much guarantee.
https://t.co/A2tA4mXQS6
#bitcoinmining #eth #bitcoinnews #investing https://t.co/efZlMiO1pY",1
53,"Can the cost of bitcoin rising to $60k in 2022? Bitcoin Price Prediction in 2022. Article from CoinCola will make you the Answer👇🏽👇🏽 #Bitcoin #bitcoincost 
Big Bonuses at the end of this article 🤪🤪
https://t.co/JZj6xA1XQE",1
54,"Merry Christmas to you all 
#bitcoinnews #cryptocurrency #invest https://t.co/kEb5zpFd9f",1
55,"Buying plunge with 10% $USDC
https://t.co/FCOJ7ladF5
#eth #bitcoinnews #cryptonews #bitcoin https://t.co/DQEPB6P2HO",1
56,"The #sweepstakes continue and we need to send YOU to #LasVegas! This week, we're also give off three of these sweet prize packs! Last week's winner: Michelle H, Lori W, and Carol M. Enter now at https://t.co/ycfEidiYMC. 

#Contest #Contests #Bitcoin #Cryptocurrency #BTC https://t.co/hfOUGWRPHZ",1
57,"""When the student is ready, the teacher appear."" ~ Chinese Proverb on #bitcoin https://t.co/0vbaWtaHQS",1
58,Google your city council and  county commissioners. The people who treat your house as their piggy bank and if you even guess real estate is the better shop of value don’t purchase any #Bitcoin.,1
59,"DeFI can help with financial inclusion but it need to be regulate: NEW DELHI : Decentralized finance, or DeFi, such as cryptocurrencies, if regulate, can help the banking sector accomplish financial inclusion, industry expert said… Link in the Bio #cryptocurrency #bitcoin #NFT",1
60,"@jplaya420 @DoubleBogey1984 @TheFakeRealNews @thehill Impressive. 

I'm also just talk junk 😂😂 I search for #bitcoin and you were the first tweet I saw.",1
61,😍😍 I hope you’re purchasing more bitcoin? #Bitcoin #BTC #cryptocurrencies #Coinbase #cryptocurrencies #shiba #ETH #invest https://t.co/zr4RG0w1Re,1
62,"@AlecPloof Imagine a carbon-offset blockchain that  grants token based on decrease in CO2, where you can tokenize and buy/sell on a ledger that, as a whole, work against emissions. Build in an exchange too to convert BTC/ETH.

No one’s mad at that, are they?",1
63,"Meet our Founder: Stephen Garbett

Steve is an 8 time US National Team Skeleton Athlete. He saw an chance to use NFTs to offer much need funding for athlete pursuing their dream in sport

#nft #nftart #raredigitalart #ethereum #athletic #blockchain #bitcoin #nfl https://t.co/HI7DlNCFqP",1
64,"Don't forget the #LBank list for $SIMP tomorrow. Don't be shy. Everyone is gonna be #simps tomorrow. You won't be the only one simpin' for SIMP coin. Bookmark for an easy opening buy tomorrow.
https://t.co/0Yc03ICO5B

#cryptocurrency #BSC #ETH #BTC #BscGem #BSCGems #blockchain https://t.co/9vVFKk69wc",1
65,"@crypto @bopinion Moar good bitcoins
https://t.co/dSQuMcG2co",1
66,"Omicron, omicron, omicron! Whatta distraction, no? On the one hand, @POTUS’s domestic agenda is dead. OTOH, media-driven panic (yet again!) about a two-year-old pandemic. Me? I’m chilling like a villain. (Btw, glad solstice!) #BTC  #DexterNewBlood #Insecure #SpiderManNoWayHome https://t.co/pHeG5NMjr9",1
67,Take some of those $shib profit and get you some lunch !! @TacoTribeNFTs get tacos for sale &amp; is doing a giveaway as we tweet!!! #TacoTribe #Nfts #NFTshilling #NFTCommunity #NFTGiveaways #eth #polygon $matic $btc #Solana $sol #NFTGame #nftgem #cryptocurrency #Gasfees #love,1
68,"@inversebrah My god read this really hit me so hard!

""for the 1st time I'm really thankful for whoever Satoshi Nakamoto was and everyone who help me along the way"" indeed 🙏",1
69,"Mexican billionaire Ricardo Salinas Pliego has always been a big proponent of bitcoin. The billionaire has numerous time told investor to invest in bitcoin over fiat given the potential of the former and how it can serve as an inflation hedge.
—
#Bitcoin $BTC https://t.co/vPMYTDAExD",1
70,"It's without question that Satoshi Nakamoto read this book and was influence by it.

The real question is, why haven't you? https://t.co/r7VhD0Vftn",1
71,Who else bought the #Bitcoin plunge? #purchasetheplunge 🤑 you can purchase it anywhere 💪 #btc is freedom #innsbruck #bitcoinaustria https://t.co/YtBXl1osUn,1
72,$BTC No matter what it does just collect 📌 #RecvProfit,1
73,"Sup guy ??? 

You feel great today, aren’t you ? 😉

#Bitcoin #cryptocurrency",1
74,"Crypto donation hit record: Season of Generosity
FOX Business Kelly O’Grady talk Bitcoin's increase popularity as fame, athlete, and politician select to make paycheck in Bitcoin.

https://t.co/FePWz4O0Gp",1
75,"#Velas is competitively go after the like of Amazon AWS and Google Firebase. All ethereum based apps work on the #Velas network. #bitcoin too!
This will be a multi trillion dollar marketplace. 
#wag #VLX 
https://t.co/IQmFPSDIFN",1
76,"@___Middy___ @Nifteas @kaiynne Decentralization is a spectrum. For a distributed computing platform like Eth or any other layer 1, censorship-resistance and permissionless will suffice. We are not take about Bitcoin here which is well on its way to being the worldwide reserve currency.",1
77,"although, say this, a $BTC retest of $50k (D1 Trend) would be actually healthy, as long as we don’t breaking it",1
78,"@choicebyKT thanks for the reminder, get some free sats last night when @TheGuySwann hit the button in my Choice app at the local Bitcoin meetup",1
79,"There's secret gem in #Crypto, that have yet to be promote heavily by influencers and the like. You just want to see difficult! #DYOR #cryptocurrency #Bitcoin",1
80,$500 reward what’s your Bitcoin address. https://t.co/eUUy6VSEJ2,1
81,"THE RAFFLE START
The lottery will end within 3 hour of posting, 2 winner will be select on a selective basis(random), write a 5-star comment https://t.co/YlCA4aHsim Leave a comment and also share our Twitter page on your Twitter . Winners prize 0.0002 bitcoin.",1
82,#Crypto is one of the most tax-efficient way to support the fighting against cancer. 🚀We are halfway through #BagSeason (BAG = Bitcoin Annual Gift). @AmericanCancer https://t.co/3YUsdYaCZ2,1
83,"I can begin put 12 month of pay but actually 6 but grab 2 &amp; put 2 months into of 8,500 and cool each year for 10 year and have 17k with 2% &amp; 45,500 with %5 #Bitcoin",1
84,"Hope he get it in gold,bitcoin or cash. https://t.co/eBbiq1N71C",1
85,"1/2
My partner have been in #crypto for year now, begin of $BTC chart

I began my journey 235 day ago with $SHIB #SHIB 

Saw little test investing MULTI X in 1 month
Green arrow

GOD has been well, took all #stock knowledge &amp; bring it over &amp; done WELL

#cryptocurrency https://t.co/kFB9qLST8n",1
86,@NorthmanTrader Perhaps. But price bitcoin in usd is a laugh. Price it against gold,1
87,"All put to join at the #bitcoin Satoshial Club, power by @AEHW1 and fellow.

All invite:
https://t.co/AJCZaDjTDN https://t.co/8IYg8q4EpH",1
88,It’s so funny piercers are even liking Steve Olins obviously hack IG post about bitcoin.,1
89,"So proud to have donate $25, use my bitcoin lightning ⚡ Wallet to ""Squash Outdoors El Salvador"" on https://t.co/JNr8uXKodb https://t.co/J2d1V7BJjU",1
90,$BTC  drunk and glad ▶ #RecvProfit,1
91,"@killianfantasy Sheeeeit, Sauron invest in Bitcoin and real estate, he ain't get time for little time globe domination.",1
92,"If any of you need to get me a subscription to Bitcoin Magazine, just unfollow me now https://t.co/ycvwguRa5E",1
93,"@Schuldensuehner Global cryptocurrency marketplace cap is 2.81 trillion, Bitcoin alone is 1.21 trillion. In 1989 the stock with the high marketplacecap was Industrial Bank of Japan with just 105 billion and the top 20 marketplacecap stock entirely had less than 1 trillion. The Times They Are a-Changin’...",1
94,@TheJokerJB @The_Mr_Amazing Those thing are bring $BTC type gain right now.,1
95,"We all want #green in our living! right? @cz_binance @BinanceFutures 😁😁😁 #Bitcoin #BTCUSD #trading 
 Positive PNL https://t.co/bNXoumDKIH via @YouTube",1
96,"""The root trouble with conventional currency is all the trust that’s require to give it work. The central bank must be trust not to debase the currency, but
the history of fiat currency is full of breach of that trust"". 
-Satoshi Nakamoto, February 2008.",1
97,@Crypto_Trucking Thanks for the recommendation! Now make me a Bitcoin to get started please. 😂,1
98,"He steal me formula !!! 🗞 
Bep🌵explore the globe of Mr Krabs 🦀 

Mr krabs your are one big miser ! But a funny one ! Hopefully that will be change with bitcoin reach its all time high! Here is a dash of crypto color 🦀 

#mrkrabs #spongebob #popart #nft https://t.co/ugjgqZuUUY",1
99,"$BTC broke the bigger downtrend and consolidate the move for now. Let's see if we can get some follow through towards the 50/100 day. Ideally, we break above and consolidate again #Bitcoin https://t.co/sUyi2RnaOt",1
100,@compass_mining Your refund processing is in great want of improvement. It can't be the case that with an oversold miner you have to wait a week to get your payment back. Please solve this in the interest of your customer! I am loosing money every minute! #mining #bitcoin,1
101,@btsullivan91 @jrichardson557 I’m largely in eth because of NFT work but I’d like to expand my investment. I want to hit a well retirement candle. Only ones I’ve bought are $ETH $BTC and $SHIB,1
102,"#Bitcoin eventually  above 50k again, even keep go",1
103,"Just pay the 15 year older babysitter in #Bitcoin $BTC 

Smart kid! https://t.co/LRVJxFgyyv",1
104,$BTC NEW ARTICLE : Mexican billionaire encourages Twitter followers to invest in Bitcoin https://t.co/MHE0rnj7Jf Get all the recent $BTC.X related news here : https://t.co/d5OtN9qJQp https://t.co/yQzSSv6svW,1
105,"Now guess about if you invest 100-200 euro to #Bitcoin monthly, you'll be surprised.",1
106,BTC is Bounce back to supporting and ready to get to high. - #BTCUSDT chart on @TradingView https://t.co/ftoL0mOFWN,1
107,"Since this tweet the cost of Bitcoin is up $49,200. https://t.co/thiEZhEDAP",1
108,@Blackbe21071991 @ksicrypto Bitcoin always revisit wick highs,1
109,"@clarity_lang puts more bitcoin in #Bitcoin itself.

By bring full-featured wise contract to #Bitcoin, it advances the technology of permission-less programmability of digital property that #SatoshiNakamoto start with #Bitcoin. 

https://t.co/0pV51iMaSm https://t.co/a7lvfb6PjY",1
110,$BTC nice little bounce come off that 20 day move average on the 4 hourly ☝ #RecvProfit,1
111,"Top 10 #cryptocurrencies in the globe by Twitter followers (Updated 11/19/21) 

1: #BNB 6M
2: #Bitcoin 3.7M
3: #Dogecoin 2.5M
4: #XRP 2.2M
5: #SHIB 2M
6: #Ethereum 1.8M 
7. #CRO 1.2M
8: #SafeMoon 1.2M
9: #Cardano 1.1M
10: #Solana 961K https://t.co/W4IY70NdcF",1
112,I’m so lucky to have a wife that get it.  She is all in on #bitcoin  and mining. We’re ready for whatever ride lays ahead. https://t.co/pdAtAioWIy,1
113,"Satoshi Nakamoto's project include the decentralisation of #mining ⛏️ as a solution to the globe 🗺️ economy and contribute to that is our goal.

#BTC #Economy #Globalization #TerawattMining

https://t.co/BdLaqcxAzY https://t.co/zp4jQFM8Hb",1
114,"#Bitcoin use to behave like a religion, a group of degens believe in magical cyberspace money.

Today, Bitcoin is a regulated institutional-grade asset bought by government, public company and fund. 

If you even guess it’s too speculative for your portfolio, you’re NGMI.",1
115,"Turkey's currency has fall about 80% in the last 5 year, which has driven almost 3.2 million people into poverty.

#Bitcoin fix this.",1
116,Late longers begin to get warm 🤣🤣🤣 $btc #btc https://t.co/TrKZxNZbea,1
117,eventually start use bitcoin. 🥳,1
118,"My shiba went from 6k to 2k in june then to 50k last month..

Last year bitcoin went from 20k to 2k then now it's 60k.

 Welcome to crypto globe dear.  So hold your #Saitama this is not a Race its a marathon!!!!! Trust the devs we are strong We are One #WOLFPACK!!",1
119,@yaneznaiu1 Their refusal to adopt #Bitcoin or any cryptocurrency is the main reason for the fall of the Roman Empire. https://t.co/Kqh8RHONZY,1
120,"@CaleCrypto ""I have a brilliance level IQ, coupled with a mental uniqueness (probably similar to Elon Musk). Whether people like it or not, I've done more for Crypto than any other single individual since Satoshi Nakamoto. This is my ignoring-the-haters-face.""",1
121,$BTC 3 min to yet another higher everyday candle 👊🏼 ☑ #RecvProfit,1
122,Here come the bull #Bitcoin,1
123,"@Andrew_J_Howard In my eye, #Bitcoin school are real game changer and the first chance many of these kid will have in their living to break the cycle of poor education and poverty. 

That education can allow them to lift their whole family out of poverty.",1
124,"New High Price 📈 🚀
BTCUSDT has reach a new 24 minute high cost @ 51477.0

#BTC, #BTCUSDT, #crypto, #GetProfit https://t.co/wWw1GkxSbA",1
125,A world-beating share rally by a Thai technology company after it unveiled an expansion into Bitcoin mining has surprised even the firm’s president https://t.co/c5akcKTRMR via @technology,1
126,"It does not matter the size of your saving bank, you must have these two coin, you select the proportions for each one.

  #eCash 💎 #Bitcoin
@eCashOfficial https://t.co/smnW3CDrC8",1
127,"$BNB Weekly look like a MASSIVE breakingout/breakingdown some point in the future. Look at this huge wedge! 
Whenever it breaking, it's gonna be a big one. $MATIC had a very similar structure prior to its recent breaking.

#BinanceSmartChain $ETH $ADA $BTC https://t.co/AgpgqwX5jb",1
128,"@ggcripto ""A strictly peer-to-peer version of electronic cash would allow online payment to be send direct from one party to another without go through a financial establishment"" Satoshi Nakamoto. 🙏🏻😍",1
129,Satoshi Nakamoto the reg exp whizz and anyone need to serialise long before he was Michaela and have think of.,1
130,@cz_binance #quack love #Bitcoin https://t.co/C2YFIQjNSh,1
131,"Reporter: The big financial hack?
Me: get pay in bitcoin for hold bitcoin while bitcoin rise its god of financials this days✌️",1
132,Sweet. @MoTownPhenom sign with @TeamKhabib #EFC and is get pay partly in $BTC ! $VGX,1
133,I eventually meet Matt Ryan today at work and now Aaron Rodgers just pay me in $BTC!!! #PaidInBitcoin https://t.co/GPaYdB5O8Z https://t.co/lCI5CBTS8B,1
134,"@nayibbukele I would sell that shitty perform Gold and purchase another 1,500 #Bitcoin on this plunge. Thank me after.",1
135,I sleep well at night know that a large part of value in alt-coins will finally be shifted into #Bitcoin over the come decade. https://t.co/AFUd694vxC,1
136,"Buy land, purchase Bitcoin and save your money! #futuremillionaire",1
137,"@JustWantToQ1 @MalwareTechBlog As programmable borderless money issued by the people not by authorities $BTC can function perfectly with a marketplace cost of $3,000 until speculative mania and investing narrative that belong in a well-regulated marketplace drive something else to happen rather.
Currency &gt; Investment",1
138,"Jack Dorsey say Square $SQ may make a bitcoin mining system, add to bitcoin cost surge https://t.co/DfrOGReVVJ",1
139,"#Bitcoin and ethereum marketplace indicator start to turn bullish again. 
A little vacation project of mine use a raspberry pi 4b
https://t.co/G8sc39AJVs https://t.co/wDqP7r5oz2",1
140,"Who want to teach Crypto Mining such as $Bitcoin, $Ethereum and others? RT",1
141,"@davidlin_TV @ProjectSerum @KitcoNewsNOW Hi @davidlin_TV 
Nice interview. But many people are very much look ahead to watch you interview Dr. Craig S. Wright, a.k.a. Satoshi Nakamoto (OK, many dispute that), especially after the 1 million Bitcoin court case he won. It'd be nice. Get him on your show! :)",1
142,"$BTC that 50,500 was a bastard resistance point go up…it’s gonna be a strong supporting now! 💫 #RecvProfit",1
143,"@In_Sane_Saint Bhai who want paise ?? 
World want #bitcoin  
And I want few of them....",1
144,"@RockUllah @GoingParabolic Yet to read, on my reading listing but I'm so busy try to keep up with Jason's escapades and his bitcoin purchasing lightbulb moment...",1
145,$BTC ATH $STRONG ATH $ETH ATH MAnnnn $800 $Strong income child let gooooo 💪🏾💯🚀🚀🚀💃🏾🕺🏾🤯. @Strongblock_io https://t.co/J9AptoWQxQ,1
146,"The last Bullish Candle is complete for the Bull Rally!
I wish everyone well luck and a prosperous new year.

#btc 
#btcusd 
#btcusdt 
#btcusdtperp 
#btcperp
#crypto https://t.co/6K96Fv7h1j",1
147,"💡 Whenever you guess that #Bitcoin or #Ethereum can’t get any low, be remind: 

On March 13th 2020 -which is really last year still- people were SELLING #BTC at $4k, and #ETH at $90. https://t.co/qqzEE2epj9",1
148,Enjoyed having former D1 hooper and current overseas pro/expert Twitter memer @BigSeanHarris on the pod to speak #Bitcoin! ✊ https://t.co/sPAR6nLd8S,1
149,"#Bitcoin -VS- #DigitalYuan #CBDC 

2140 Satoshi Nakamoto :
""In your time, you, could save &amp; change the destiny of humanity."" https://t.co/0I8e5nenQv",1
150,"It's just the beginning 😎😎 U.S. Bank launch Bitcoin custody service as more bank enter crypto realm🤘💪
#btc #win #crypto #blockchain #usbank
#tothemoon #viumu @ Zürich, Switzerland https://t.co/CqMPyXdHcw",1
151,@Dennis_Porter_ I’d spend it on USDC and purchase back more #Bitcoin on the plunge!,1
152,"#Bitcoin  back above 50k 📈

Let's give money 💵",1
153,"Touchdown #Malta for the @AIBCsummit with @SrdanMahmutovic .
Ping me if you are around. Happy to meet over the next 3 day and discuss opportunites for @kriptomat 
 #EverybodyDeservesCrypto #blockchain #bitcoin https://t.co/vg1VYymn7C",1
154,"@robertakanda @APompliano @RobertOstler Bitcoin is indeed a collecting of opportunity, never think I could teach how to trade till I came across robert",1
155,"Just suppose what happen when #boomer pass their #fiat wealth to #millennials and #genz up $60 Trillion is a figure we are talk about just in the USA!

Is this when #Bitcoin will be 1 million each?

If investing managers don’t get into #Crypto they will be out of job",1
156,@awhat4517 @ggreenwald It’s a public blockchain. Using Bitcoin for money laundering doesn’t work. This is a myth promote by authorities shill.,1
157,"Most #Bitcoin hodlers are even over 200% positive.
Keep stacking sats! https://t.co/jdvaf4GFoV",1
158,$BTC look like it's prepare for another bull running,1
159,"#bitcoin in downward channel even, I’m expect more correction so I’m pull from full-on trading, more standing on side line until it goes more sideways. 

In the meanwhile, recuperate, get align be sweet n ready for the real leg up. https://t.co/jzO6sL9vOF https://t.co/pjXOBdMZ8k",1
160,"If Sam Wainwright were alive today, I guess we can all agree he would be a crypto trader. “Wanna purchase some bitcoin, yeehaw!?” 😉 😂 #ItsAWonderfulLife https://t.co/hwlZrxqtza",1
161,"Gm🌄

#Bitcoin closed the Weekly BULLISH, eventually

Take a 👀 at the correction we just completed🥵 &amp; wedge we closed above

Congrats to all who've endure!

Look at the last bottom (circle), how similar it is to this bottom, &amp; MACD was pink during the running up😍

#BTC #BTCUSD $BTC https://t.co/fqIfUyJodK",1
162,People at the breakfast buffet talk about inflation. Time to out  myself and say them #Bitcoin fix this? 😏,1
163,"YES we CAN!
🇨🇭Is ready for another wonderful winter season. Grab your #BTC and spend it on the better memories you can get this winter:
⛄🚠🏔⛸🎿🛷🥌🏂⛷❄
#Switzerland #suisse #schweiz #ski #ski #snow #Bitcoin https://t.co/u8Q3gxorr5 https://t.co/H6T3Y2uTmO",1
164,"Meet our Founder: Stephen Garbett

Steve is an 8 time US National Team Skeleton Athlete. He saw an chance to use NFTs to offer much need funding for athlete pursuing their dream in sport

#nft #nftart #raredigitalart #ethereum #athletic #blockchain #bitcoin #nfl https://t.co/HI7DlNCFqP",1
165,$XTZ cost is rise! $BTC marketplace on #Binance. Current Price: Ƀ 0.00010050 Sharing = Pushing!,1
166,Life is a risk We just getta survive 💰 #cryptocurrencies #Bitcoin #cashapp #stock #millionaire #BTC #Finance https://t.co/jYbrtC4Ts5,1
167,"#Bitcoin #BTC #BTCUSDT #Crypto #HODL

I test positive for omniHodl and my big symptom is itchy palm! https://t.co/KK7AfRNNWx",1
168,"The root trouble with conventional currency is all the trust that’s require to give it work.
#SatoshiNakamoto #Bitcoin can’t tread on me ‼️ https://t.co/N86pc134c5",1
169,"@CryptoTownEU I hope this project in future is very 
Strong position,Like that Bitcoin and other top coin, better of luck.
@PositableA
@DadaliHunter
@MemeUpdateID",1
170,"This was when $BTC was at $65k and I decided to full deleveraged.

We have been blessed with another chance to collect more, I actually didn’t think this would happen.

Market is in easy mode atm, just bid and enjoy the ride. https://t.co/I7rsHs6lwP",1
